alt,temp,pres
69999.7917410017,-47.7425384521484,0
69989.5706896895,-47.6708755493164,0
69979.2996695879,-47.6004486083984,0
69966.3905114277,-47.5141487121582,0
69958.6073846448,-47.4632873535156,0
69948.1865272569,-47.3965377807617,0
69937.7153627677,-47.3310012817383,0
69929.829388657,-47.2826347351074,0
69919.2706789256,-47.2191886901855,0
69908.6621347629,-47.1569366455078,0
69898.0033527649,-47.0958671569824,0
69889.9768162664,-47.0508270263672,0
69879.2302851985,-46.9918022155762,0
69868.4339890899,-46.9339485168457,0
69857.587927877,-46.8772315979004,0
69849.4202217548,-46.8354415893555,0
69838.4863420709,-46.7807235717773,0
69827.5023590957,-46.7271385192871,0
69819.2314674999,-46.6876831054688,0
69808.1602774475,-46.636058807373,0
69799.8237767058,-46.598072052002,0
69788.6647029514,-46.5483856201172,0
69777.4556603909,-46.4997978210449,0
69766.1963800424,-46.4523048400879,0
69757.7191825139,-46.4173927307129,0
69749.2136833152,-46.3830986022949,0
69737.8293462633,-46.3383026123047,0
69729.2581034823,-46.3054161071777,0
69717.7864248459,-46.2625007629395,0
69709.149573035,-46.2310066223145,0
69697.5903489258,-46.1899337768555,0
69688.8877533989,-46.1598205566406,0
69677.2407109203,-46.1205825805664,0
69668.472371867,-46.0918350219727,0
69659.6762039413,-46.0636711120605,0
69647.9038358181,-46.0270118713379,0
69639.0417897413,-46.0001907348633,0
69627.1820106887,-45.9653205871582,0
69618.2540173234,-45.9398307800293,0
69609.2982644109,-45.9149055480957,0
69597.3132941931,-45.8825531005859,0
69588.2915937945,-45.858943939209,0
69579.2417263363,-45.8358955383301,0
69567.1316342081,-45.8060264587402,0
69558.0160232099,-45.7842750549316,0
69548.8723142825,-45.7630729675293,0
69539.7006421142,-45.7424201965332,0
69527.4277129312,-45.7157363891602,0
69518.1899589039,-45.6963500976563,0
69508.9245797523,-45.6775093078613,0
69499.6305607955,-45.6592102050781,0
69487.1948638712,-45.6356430053711,0
69477.8352357274,-45.618595123291,0
69468.4473752854,-45.6020774841309,0
69459.0313477133,-45.5860939025879,0
69449.587222336,-45.5706329345703,0
69436.9511119724,-45.5508422851563,0
69427.4413774019,-45.5366096496582,0
69417.9032067093,-45.5228996276855,0
69408.3370034455,-45.5097045898438,0
69398.7425678123,-45.4970321655273,0
69389.1199651782,-45.4848709106445,0
69379.4689264195,-45.4732246398926,0
69369.7899242138,-45.4620933532715,0
69356.8409396298,-45.4480361938477,0
69347.096193858,-45.4380836486816,0
69337.3231465211,-45.428638458252,0
69327.5221358015,-45.4196968078613,0
69317.6926890864,-45.4112548828125,0
69307.835413417,-45.4033164978027,0
69297.9497016842,-45.3958702087402,0
69288.035688317,-45.3889236450195,0
69278.0937116314,-45.3824729919434,0
69268.1232988804,-45.3765106201172,0
69258.1249226759,-45.3710441589355,0
69248.0982449015,-45.3660659790039,0
69238.0434692424,-45.3615760803223,0
69227.9605265099,-45.3575706481934,0
69217.8491477089,-45.3540382385254,0
69207.7098055861,-45.3509941101074,0
69197.5421618241,-45.3484306335449,0
69187.3462163543,-45.3463439941406,0
69177.1223076289,-45.3447341918945,0
69166.8701665163,-45.3436050415039,0
69156.5897238295,-45.3429489135742,0
69149.7203640664,-45.3427696228027,0
69139.3930006049,-45.3428955078125,0
